,Response,Response,Response,Response,Response,Response,Response,Response
Question Key,Debriefing,ExitQ_Immersion,ExitQ_PlayAgain,ExitQ_PlayDecisions,ExitQ_PlayFeeling,ExitQ_SettingCheck,Feedback,ImmsersionSlider
Participant Private ID,,,,,,,,
9362250.0,Yes,give us more time to read it without it auto advancing,Hayou,"Yes, I thought so. I was waiting for a bad decision but never really got one so I used up all my rewards right away.",they both seemed to make good decisions so it was hard to punish them until I was forced to,a dungeon of some sort,I couldn't scroll to see all the words on some pages and it auto advanced so quickly that I didn't always have time to read all the words.,3
9362255.0,Yes,,Jack,"On a scale of 10 , 6",Impartial,Muddy,No comments or concerns ,7
9362285.0,Yes,Provide some sort of illustrations of graphics,Jack,"Yes I thought they did, and I would have never punished them if I had the option not to",I feel indifferent towards both of them,I imagined it as like a dungeon,I don't,3
9362297.0,Yes,No,Spencer,Yes,Neutral,Fantasy roleplay game,No,3
9362305.0,Yes,Show a picture of them.,Yuxi,Mostly yes.,About the same. They were both honorable and risk takers.,Cave,No,7
9362320.0,Yes,The text moved too quickly so I couldn't always fully read everything before it disappeared.  Slow down the auto-advances a bit so I can immerse myself in the text more.,Spencer,"I think they both made reasonable decisions.  I'm not sure what the alternatives were, but their actions seemed pretty consistent with the situations they were put in.","I liked Spencer more because he seemed to choose violence more often than thinking, which I appreciated.","it was a high fantasy setting, like knights and dragons type thing.",No.,5
9362321.0,Yes,no,either,no,the same,a forest?,no,4
9362323.0,Yes,Maybe make the rewards/punishments more concrete? Like have them result in things that effect the game later on,No preference really. Jack was less intelligent but it made for a more fun game,Not all the time,Jack seemed more straight forward and Hayou seemed more clever,A fantasy arena,None,6
9362324.0,Yes,Perhaps if more bonus opportunities were available it would have made the game more exciting.,Jack,"Yes they did. Looking back, I wish I would have spread out my ""Rewards"" and ""punishments"" instead of electing to reward all 10 to start the game.",Both players were adequate I thought. ,"I read the description at the beginning, but I don't recall seeing the setting. I believe the setting was in the Midevil times. ",Thank you!!,6
9362325.0,Yes,no,none,yes,nothing,fantasy,no,3
9362326.0,Yes,Include visuals and audio,Jack,"Yes, they made logical decisions.",Jack was intelligent and could solve riddles. Spencer was more aggressive.,A dungeon,"No, I enjoyed participating",5
9362328.0,Yes,Why automatically have it change screens?,Yes.,Yes.,"Neutral, nothing to know about them as there is no background other than the name itself.",It was a combination of dungeons.,,5
9362329.0,Yes,Longer descriptions. ,Jack,Both players made reasonable decisions,I had a positive attitude toward both players,A dungeon obstacle challenge,"I might have said that on the previous screen that I would have prefered to play with the player that wasn't ""Jack"" but I couldn't recall how their name was spelled and it wasn't presented on the screen. I don't know if that outcome harms your data or gives you exactly the data you were looking for.",5
9362330.0,Yes,It seemed like random happenings a bunch of disconnected events,either,yeah the only bad part is I had to choose punishing options for them.,They didn't seem different.,a fantay setting,no,4
9362331.0,Yes,More dramatic dialogue.,Emma,Yes they made good decisions.,I liked them both equally.,in a fantasy game,😁,7
9362332.0,Yes,I thought it was great.,Hayou,Yes.,I liked them.,I don't remember. It went by so fast.,I thought the study was great.,7
9362333.0,Yes,none,emma,i think so yes,good,sounded like a muddy swamp with waterways,none,6
9362334.0,Yes,No,"both, I would like to play with them both again",yes,good and like them,trying to make something happen,no,5
9362335.0,Yes,maybe add some sounds,Jack,"Yes, for the most aprt, they did.",They were both great,a dungeon or arena that some gladiators were in.,no,6
9362336.0,Yes,Give more time to read the scenario,Either would be fine,yes they did,They were both okay,It was a dugeon like settting,no,7
9362337.0,Yes,Perhaps include images or pictures,Emma,Yes,Very good,An online video game fraught with danger ,None thank you,7
9362339.0,Yes,"I don't know, maybe visuals, maybe not moving it along too fast and making me nervous about being able to read them, maybe making there be real consequences",I'm indifferent between the 2 ,Yes,neutral- they were just following a script in turn,it was trying to gather rewards through maggots and other obstacles getting in the way,no,2
9362340.0,Yes,none,jack,yes,each where unique in thier own way,it was magical and dungeon like,none,7
9362341.0,Yes,"Some sound, instead of just text.",Emma,yes,They were both fine.,cave,no,2
9362342.0,Yes,"Visuals, there were also issues with the text not lining up properly.",Emma,I think they made reasonable decisions. Emma's seemed more risky perhaps. ,"I liked both players, slightly favoring Emma.",Forest with swamps/rivers and a castle.,No,2
9362343.0,Yes,no,Becky,Yes,Both were reasonable,mythical cave,No,7
9362345.0,Yes,Maybe add rolling dice to decide certain outcomes,Emma,Yes,Both Emma and Yuxi seemed like they were making good decisions,A fantasy land,No,6
9362346.0,Yes,"I think the scenarios could have been fleshed out more, to make them seem less generic.","I would be fine playing with either player, I thought they played equally well.","Yes, they both made reasonable decisions in all of their encounters.",They both did a good job and made good decisions in the adventure.,"The setting was like a traditional RPG video game, with puzzles to solve and foes such as ogres and beasts to defeat.","I did suspect that the other players may not have been real people simply because the actions seemed to happen quite quickly, with no lag time.",4
9362347.0,Yes,yes,2,like,like,sometime,none,5
9362349.0,Yes,Have some video go go along with it,Becky,Becky did mostly...not so much Emma,liked both,midevil,,7
9362350.0,Yes,I don't think any changes are needed. ,Yuxi,"I believe so, yes",no strong feelings either way,colosseum,no,6
9362352.0,Yes,no,"either one, both are stalwart",yes,both brave,tunnels,no,6
9362354.0,Yes,Probably give more time to read through the adventure,Spencer,most of the times,good,treasure adventure,none,6
9362356.0,Yes,I felt that the i could have used a couple more seconds to read some of the longer scenarios.,Spencer,Yes.  ,They seemed pretty likeable.  I would play with them again.,A fantasy world.  The players are trapped in a dungeon or something. I think.,no,6
9362360.0,Yes,,Jack,for the most part,i liked them both,?,,5
9362738.0,Yes,Maybe make it more so that I can see what they are being shown and see the consequence of their action,Emma,yes,I feel positive about both of them,The players trying to cross a realm ,None,6
