,Response,Response,Response,Response
Question Key,EIS1,EIS2,EIS3,EIS4
Participant Private ID,,,,
9362250.0,4,3,4,4
9362255.0,4,5,5,6
9362285.0,2,1,2,4
9362297.0,1,1,1,1
9362305.0,6,1,1,5
9362320.0,5,7,7,4
9362321.0,3,6,2,2
9362323.0,5,3,4,3
9362324.0,4,2,3,4
9362325.0,1,1,1,1
9362326.0,5,4,4,4
9362328.0,4,2,3,2
9362329.0,3,3,4,2
9362330.0,1,1,1,1
9362331.0,4,3,2,7
9362332.0,7,4,7,7
9362333.0,5,3,4,6
9362334.0,6,7,2,4
9362335.0,6,7,7,6
9362336.0,5,4,3,4
9362337.0,7,6,6,6
9362339.0,1,1,1,1
9362340.0,6,6,6,6
9362341.0,5,2,4,4
9362342.0,4,2,2,4
9362343.0,6,4,4,4
9362345.0,4,3,4,4
9362346.0,5,5,5,4
9362347.0,3,4,5,4
9362349.0,7,7,7,7
9362350.0,4,2,2,3
9362352.0,5,6,6,5
9362354.0,7,7,6,6
9362356.0,1,1,2,2
9362360.0,5,4,4,4
9362738.0,2,4,3,4
