,Participant Private ID,Spreadsheet: Type,Spreadsheet: Name,Spreadsheet: Group,Spreadsheet: Adv,Response
0,9362333.0,STR,Yuxi,Out,2.0,Reward
1,9362333.0,DIR,Emma,In,1.0,Reward
2,9362333.0,DIR,Yuxi,Out,2.0,Reward
3,9362333.0,STR,Emma,In,1.0,Reward
4,9362333.0,INT,Emma,In,1.0,Reward
5,9362333.0,STR,Yuxi,Out,2.0,Reward
6,9362333.0,DIR,Emma,In,1.0,Punish
7,9362333.0,INT,Yuxi,Out,2.0,Reward
8,9362333.0,STR,Emma,In,1.0,Reward
9,9362333.0,INT,Yuxi,Out,2.0,Punish
10,9362333.0,DIR,Yuxi,Out,2.0,Reward
11,9362333.0,STR,Emma,In,1.0,Punish
12,9362333.0,INT,Emma,In,1.0,Reward
13,9362333.0,DIR,Yuxi,Out,2.0,Punish
14,9362333.0,DIR,Emma,In,1.0,Punish
15,9362333.0,INT,Yuxi,Out,2.0,Punish
16,9362333.0,STR,Yuxi,Out,2.0,Punish
17,9362333.0,INT,Emma,In,1.0,Punish
18,9362333.0,,,,,60-40
19,9362337.0,STR,Yuxi,Out,2.0,Punish
20,9362337.0,DIR,Emma,In,1.0,Reward
21,9362337.0,DIR,Yuxi,Out,2.0,Reward
22,9362337.0,STR,Emma,In,1.0,Punish
23,9362337.0,INT,Emma,In,1.0,Reward
24,9362337.0,STR,Yuxi,Out,2.0,Punish
25,9362337.0,DIR,Emma,In,1.0,Reward
26,9362337.0,INT,Yuxi,Out,2.0,Reward
27,9362337.0,STR,Emma,In,1.0,Punish
28,9362337.0,INT,Yuxi,Out,2.0,Reward
29,9362337.0,DIR,Yuxi,Out,2.0,Punish
30,9362337.0,STR,Emma,In,1.0,Reward
31,9362337.0,INT,Emma,In,1.0,Reward
32,9362337.0,DIR,Yuxi,Out,2.0,Punish
33,9362337.0,DIR,Emma,In,1.0,Punish
34,9362337.0,INT,Yuxi,Out,2.0,Punish
35,9362337.0,STR,Yuxi,Out,2.0,Reward
36,9362337.0,INT,Emma,In,1.0,Reward
37,9362337.0,,,,,60-40
38,9362345.0,STR,Yuxi,Out,2.0,Reward
39,9362345.0,DIR,Emma,In,1.0,Reward
40,9362345.0,DIR,Yuxi,Out,2.0,Punish
41,9362345.0,STR,Emma,In,1.0,Punish
42,9362345.0,INT,Emma,In,1.0,Reward
43,9362345.0,STR,Yuxi,Out,2.0,Reward
44,9362345.0,DIR,Emma,In,1.0,Punish
45,9362345.0,INT,Yuxi,Out,2.0,Reward
46,9362345.0,STR,Emma,In,1.0,Punish
47,9362345.0,INT,Yuxi,Out,2.0,Punish
48,9362345.0,DIR,Yuxi,Out,2.0,Reward
49,9362345.0,STR,Emma,In,1.0,Punish
50,9362345.0,INT,Emma,In,1.0,Reward
51,9362345.0,DIR,Yuxi,Out,2.0,Punish
52,9362345.0,DIR,Emma,In,1.0,Reward
53,9362345.0,INT,Yuxi,Out,2.0,Reward
54,9362345.0,STR,Yuxi,Out,2.0,Punish
55,9362345.0,INT,Emma,In,1.0,Reward
56,9362345.0,,,,,60-40
57,9362350.0,STR,Yuxi,Out,2.0,Punish
58,9362350.0,DIR,Emma,In,1.0,Reward
59,9362350.0,DIR,Yuxi,Out,2.0,Reward
60,9362350.0,STR,Emma,In,1.0,Reward
61,9362350.0,INT,Emma,In,1.0,Reward
62,9362350.0,STR,Yuxi,Out,2.0,Reward
63,9362350.0,DIR,Emma,In,1.0,Reward
64,9362350.0,INT,Yuxi,Out,2.0,Reward
65,9362350.0,STR,Emma,In,1.0,Punish
66,9362350.0,INT,Yuxi,Out,2.0,Punish
67,9362350.0,DIR,Yuxi,Out,2.0,Punish
68,9362350.0,STR,Emma,In,1.0,Punish
69,9362350.0,INT,Emma,In,1.0,Reward
70,9362350.0,DIR,Yuxi,Out,2.0,Punish
71,9362350.0,DIR,Emma,In,1.0,Punish
72,9362350.0,INT,Yuxi,Out,2.0,Reward
73,9362350.0,STR,Yuxi,Out,2.0,Punish
74,9362350.0,INT,Emma,In,1.0,Reward
75,9362350.0,,,,,40-60
76,9362305.0,STR,Emma,In,1.0,Punish
77,9362305.0,DIR,Yuxi,Out,2.0,Reward
78,9362305.0,DIR,Emma,In,1.0,Reward
