,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response
Question Key,ACT_1,ACT_2,ACT_3,ACT_4,ACT_5,Political_Affiliation,RWAS-14,RWAS_1,RWAS_10,RWAS_11,RWAS_12,RWAS_13,RWAS_2,RWAS_3,RWAS_4,RWAS_5,RWAS_6,RWAS_7,RWAS_8,RWAS_9
Participant Private ID,,,,,,,,,,,,,,,,,,,,
9362250.0,5.0,3.0,3.0,2.0,6.0,4.0,3.0,3.0,5.0,5.0,4.0,5.0,3.0,4.0,3.0,4.0,4.0,5.0,4.0,3.0
9362255.0,4.0,3.0,4.0,4.0,4.0,5.0,5.0,5.0,6.0,3.0,5.0,5.0,5.0,6.0,5.0,3.0,4.0,2.0,5.0,2.0
9362285.0,7.0,1.0,6.0,1.0,6.0,1.0,1.0,1.0,1.0,6.0,1.0,6.0,1.0,1.0,1.0,1.0,7.0,1.0,1.0,6.0
9362297.0,7.0,1.0,2.0,1.0,7.0,1.0,1.0,1.0,1.0,7.0,1.0,6.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,6.0
9362305.0,5.0,6.0,1.0,1.0,3.0,4.0,3.0,5.0,4.0,7.0,4.0,5.0,1.0,5.0,4.0,5.0,3.0,5.0,5.0,4.0
9362320.0,4.0,1.0,2.0,6.0,6.0,5.0,7.0,5.0,7.0,1.0,7.0,2.0,7.0,7.0,3.0,7.0,2.0,7.0,7.0,1.0
9362321.0,7.0,3.0,3.0,1.0,7.0,2.0,1.0,3.0,2.0,6.0,1.0,6.0,1.0,2.0,1.0,1.0,5.0,5.0,5.0,5.0
9362323.0,7.0,3.0,2.0,2.0,7.0,2.0,3.0,4.0,5.0,7.0,3.0,6.0,2.0,2.0,3.0,4.0,4.0,3.0,4.0,6.0
9362324.0,4.0,3.0,4.0,1.0,5.0,4.0,3.0,3.0,3.0,6.0,4.0,5.0,4.0,5.0,5.0,3.0,5.0,3.0,4.0,2.0
9362325.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
9362326.0,6.0,2.0,3.0,2.0,6.0,4.0,2.0,5.0,3.0,5.0,1.0,3.0,5.0,5.0,2.0,3.0,3.0,5.0,5.0,3.0
9362328.0,7.0,2.0,7.0,4.0,6.0,4.0,5.0,2.0,5.0,6.0,5.0,5.0,4.0,5.0,2.0,5.0,5.0,3.0,5.0,3.0
9362329.0,7.0,3.0,5.0,1.0,7.0,1.0,1.0,1.0,1.0,6.0,1.0,7.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,5.0
9362330.0,4.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,7.0,4.0,7.0,1.0,1.0,4.0,1.0,1.0,1.0,4.0,1.0
9362331.0,7.0,1.0,4.0,1.0,4.0,2.0,1.0,4.0,4.0,7.0,2.0,7.0,1.0,4.0,3.0,3.0,7.0,4.0,1.0,7.0
9362332.0,7.0,1.0,1.0,1.0,7.0,5.0,4.0,1.0,7.0,4.0,4.0,1.0,4.0,7.0,1.0,7.0,1.0,7.0,7.0,1.0
9362333.0,4.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,5.0,5.0,2.0,5.0,2.0,2.0,4.0,3.0,5.0,3.0,3.0,5.0
9362334.0,5.0,7.0,3.0,6.0,5.0,3.0,5.0,3.0,7.0,7.0,5.0,6.0,6.0,7.0,6.0,6.0,5.0,3.0,7.0,6.0
9362335.0,6.0,2.0,1.0,6.0,6.0,5.0,2.0,1.0,2.0,1.0,3.0,5.0,5.0,7.0,1.0,3.0,1.0,6.0,2.0,1.0
9362336.0,4.0,4.0,1.0,2.0,4.0,4.0,6.0,5.0,7.0,4.0,5.0,4.0,6.0,7.0,6.0,6.0,3.0,7.0,7.0,1.0
9362337.0,6.0,7.0,1.0,1.0,7.0,5.0,7.0,7.0,7.0,6.0,7.0,2.0,2.0,7.0,7.0,7.0,1.0,7.0,7.0,1.0
9362339.0,7.0,1.0,4.0,1.0,1.0,3.0,1.0,1.0,1.0,7.0,1.0,5.0,1.0,1.0,1.0,1.0,7.0,1.0,2.0,7.0
9362340.0,5.0,5.0,3.0,5.0,5.0,1.0,5.0,3.0,5.0,6.0,5.0,5.0,5.0,3.0,5.0,3.0,5.0,5.0,5.0,5.0
9362341.0,5.0,4.0,2.0,2.0,5.0,4.0,4.0,5.0,5.0,7.0,4.0,5.0,1.0,4.0,5.0,5.0,3.0,5.0,4.0,2.0
9362342.0,7.0,2.0,6.0,1.0,5.0,2.0,1.0,2.0,2.0,7.0,2.0,4.0,1.0,1.0,2.0,1.0,5.0,2.0,3.0,4.0
9362343.0,7.0,3.0,5.0,1.0,1.0,2.0,1.0,1.0,1.0,7.0,1.0,7.0,1.0,1.0,1.0,1.0,6.0,1.0,1.0,7.0
9362345.0,7.0,1.0,4.0,1.0,2.0,1.0,1.0,2.0,1.0,7.0,1.0,7.0,1.0,1.0,1.0,1.0,6.0,1.0,1.0,7.0
9362346.0,7.0,1.0,2.0,1.0,6.0,2.0,1.0,2.0,1.0,7.0,1.0,6.0,1.0,1.0,1.0,1.0,6.0,2.0,2.0,7.0
9362347.0,5.0,7.0,5.0,7.0,5.0,3.0,7.0,6.0,5.0,5.0,6.0,5.0,5.0,7.0,6.0,5.0,7.0,5.0,7.0,7.0
9362349.0,7.0,6.0,1.0,7.0,4.0,5.0,4.0,7.0,7.0,7.0,1.0,7.0,1.0,7.0,5.0,3.0,1.0,7.0,7.0,1.0
9362350.0,7.0,1.0,7.0,1.0,6.0,1.0,1.0,1.0,1.0,7.0,1.0,7.0,1.0,1.0,1.0,1.0,7.0,1.0,1.0,7.0
9362352.0,7.0,6.0,1.0,4.0,4.0,5.0,5.0,2.0,7.0,5.0,7.0,5.0,4.0,7.0,4.0,6.0,1.0,7.0,6.0,3.0
9362354.0,6.0,6.0,5.0,5.0,6.0,5.0,5.0,6.0,5.0,6.0,5.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0,5.0,6.0
9362356.0,4.0,2.0,5.0,1.0,5.0,1.0,2.0,2.0,1.0,7.0,1.0,4.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,6.0
9362360.0,4.0,2.0,5.0,5.0,3.0,3.0,5.0,5.0,3.0,5.0,3.0,5.0,3.0,5.0,3.0,5.0,5.0,3.0,5.0,3.0
9362738.0,1.0,2.0,4.0,2.0,2.0,5.0,1.0,2.0,1.0,7.0,2.0,7.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,6.0
