Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,branch-9ku2,Randomise questionnaire elements?,Question Key,Response
1,1674073969114,18/01/2023 20:32:49,1674073968937,-6,18/01/2023 14:32:48,110083,9,questionnaire-fldq,,26470226,BLIND,7814309,,complete,hlwcwz,3IXQG4FA2Z946ZSDUFKD3ABNXOPB92,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1440x796,,Socioenvironmental Concept Interaction,4,NonBlackIdentity,No,BEGIN QUESTIONNAIRE,
2,1674074000977,18/01/2023 20:33:20,1674074000859,-6,18/01/2023 14:33:20,110083,9,questionnaire-fldq,,26470226,BLIND,7814309,,complete,hlwcwz,3IXQG4FA2Z946ZSDUFKD3ABNXOPB92,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1425x796,,Socioenvironmental Concept Interaction,4,NonBlackIdentity,No,SEE1,1
3,1674074001158,18/01/2023 20:33:21,1674074000860,-6,18/01/2023 14:33:20,110083,9,questionnaire-fldq,,26470226,BLIND,7814309,,complete,hlwcwz,3IXQG4FA2Z946ZSDUFKD3ABNXOPB92,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1425x796,,Socioenvironmental Concept Interaction,4,NonBlackIdentity,No,SEE2,1
4,1674074001158,18/01/2023 20:33:21,1674074000860,-6,18/01/2023 14:33:20,110083,9,questionnaire-fldq,,26470226,BLIND,7814309,,complete,hlwcwz,3IXQG4FA2Z946ZSDUFKD3ABNXOPB92,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1425x796,,Socioenvironmental Concept Interaction,4,NonBlackIdentity,No,SEE3,2
5,1674074001158,18/01/2023 20:33:21,1674074000860,-6,18/01/2023 14:33:20,110083,9,questionnaire-fldq,,26470226,BLIND,7814309,,complete,hlwcwz,3IXQG4FA2Z946ZSDUFKD3ABNXOPB92,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1425x796,,Socioenvironmental Concept Interaction,4,NonBlackIdentity,No,SEE4,3
6,1674074001158,18/01/2023 20:33:21,1674074000860,-6,18/01/2023 14:33:20,110083,9,questionnaire-fldq,,26470226,BLIND,7814309,,complete,hlwcwz,3IXQG4FA2Z946ZSDUFKD3ABNXOPB92,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1425x796,,Socioenvironmental Concept Interaction,4,NonBlackIdentity,No,SEE5,6
7,1674074001158,18/01/2023 20:33:21,1674074000860,-6,18/01/2023 14:33:20,110083,9,questionnaire-fldq,,26470226,BLIND,7814309,,complete,hlwcwz,3IXQG4FA2Z946ZSDUFKD3ABNXOPB92,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1425x796,,Socioenvironmental Concept Interaction,4,NonBlackIdentity,No,SEE6,3
8,1674074001158,18/01/2023 20:33:21,1674074000860,-6,18/01/2023 14:33:20,110083,9,questionnaire-fldq,,26470226,BLIND,7814309,,complete,hlwcwz,3IXQG4FA2Z946ZSDUFKD3ABNXOPB92,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1425x796,,Socioenvironmental Concept Interaction,4,NonBlackIdentity,No,SEE7,4
9,1674074001158,18/01/2023 20:33:21,1674074000860,-6,18/01/2023 14:33:20,110083,9,questionnaire-fldq,,26470226,BLIND,7814309,,complete,hlwcwz,3IXQG4FA2Z946ZSDUFKD3ABNXOPB92,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1425x796,,Socioenvironmental Concept Interaction,4,NonBlackIdentity,No,SEE8,2
10,1674074001158,18/01/2023 20:33:21,1674074000860,-6,18/01/2023 14:33:20,110083,9,questionnaire-fldq,,26470226,BLIND,7814309,,complete,hlwcwz,3IXQG4FA2Z946ZSDUFKD3ABNXOPB92,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1425x796,,Socioenvironmental Concept Interaction,4,NonBlackIdentity,No,SEE9,3
