Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,branch-9ku2,Randomise questionnaire elements?,Question Key,Response
1,1675283443880,01/02/2023 20:30:43,1675283431993,-5,01/02/2023 15:30:31,110083,9,questionnaire-d2kp,,26862288,BLIND,7979603,,complete,biqbww,358UUM7WR5EN8NL9BF8JPTPLNX1R79,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1360x768,1511x730,,"Multidimensional Inventory of Black Identity (Centrality Scale) - Sellers et al., 1997",1,BlackIdentityBranch,No,BEGIN QUESTIONNAIRE,
2,1675283457313,01/02/2023 20:30:57,1675283445444,-5,01/02/2023 15:30:45,110083,9,questionnaire-d2kp,,26862288,BLIND,7979603,,complete,biqbww,358UUM7WR5EN8NL9BF8JPTPLNX1R79,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1360x768,1492x730,,"Multidimensional Inventory of Black Identity (Centrality Scale) - Sellers et al., 1997",1,BlackIdentityBranch,No,MIBI_CS1-RS,5
3,1675283457591,01/02/2023 20:30:57,1675283445447,-5,01/02/2023 15:30:45,110083,9,questionnaire-d2kp,,26862288,BLIND,7979603,,complete,biqbww,358UUM7WR5EN8NL9BF8JPTPLNX1R79,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1360x768,1492x730,,"Multidimensional Inventory of Black Identity (Centrality Scale) - Sellers et al., 1997",1,BlackIdentityBranch,No,MIBI_CS2,3
4,1675283457591,01/02/2023 20:30:57,1675283445447,-5,01/02/2023 15:30:45,110083,9,questionnaire-d2kp,,26862288,BLIND,7979603,,complete,biqbww,358UUM7WR5EN8NL9BF8JPTPLNX1R79,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1360x768,1492x730,,"Multidimensional Inventory of Black Identity (Centrality Scale) - Sellers et al., 1997",1,BlackIdentityBranch,No,MIBI_CS3,6
5,1675283457591,01/02/2023 20:30:57,1675283445447,-5,01/02/2023 15:30:45,110083,9,questionnaire-d2kp,,26862288,BLIND,7979603,,complete,biqbww,358UUM7WR5EN8NL9BF8JPTPLNX1R79,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1360x768,1492x730,,"Multidimensional Inventory of Black Identity (Centrality Scale) - Sellers et al., 1997",1,BlackIdentityBranch,No,MIBI_CS4-RS,5
6,1675283457591,01/02/2023 20:30:57,1675283445448,-5,01/02/2023 15:30:45,110083,9,questionnaire-d2kp,,26862288,BLIND,7979603,,complete,biqbww,358UUM7WR5EN8NL9BF8JPTPLNX1R79,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1360x768,1492x730,,"Multidimensional Inventory of Black Identity (Centrality Scale) - Sellers et al., 1997",1,BlackIdentityBranch,No,MIBI_CS5,3
7,1675283457591,01/02/2023 20:30:57,1675283445448,-5,01/02/2023 15:30:45,110083,9,questionnaire-d2kp,,26862288,BLIND,7979603,,complete,biqbww,358UUM7WR5EN8NL9BF8JPTPLNX1R79,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1360x768,1492x730,,"Multidimensional Inventory of Black Identity (Centrality Scale) - Sellers et al., 1997",1,BlackIdentityBranch,No,MIBI_CS6,6
8,1675283457591,01/02/2023 20:30:57,1675283445448,-5,01/02/2023 15:30:45,110083,9,questionnaire-d2kp,,26862288,BLIND,7979603,,complete,biqbww,358UUM7WR5EN8NL9BF8JPTPLNX1R79,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1360x768,1492x730,,"Multidimensional Inventory of Black Identity (Centrality Scale) - Sellers et al., 1997",1,BlackIdentityBranch,No,MIBI_CS7,5
9,1675283457591,01/02/2023 20:30:57,1675283445448,-5,01/02/2023 15:30:45,110083,9,questionnaire-d2kp,,26862288,BLIND,7979603,,complete,biqbww,358UUM7WR5EN8NL9BF8JPTPLNX1R79,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1360x768,1492x730,,"Multidimensional Inventory of Black Identity (Centrality Scale) - Sellers et al., 1997",1,BlackIdentityBranch,No,MIBI_CS8-RS,6
10,1675283457591,01/02/2023 20:30:57,1675283445449,-5,01/02/2023 15:30:45,110083,9,questionnaire-d2kp,,26862288,BLIND,7979603,,complete,biqbww,358UUM7WR5EN8NL9BF8JPTPLNX1R79,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1360x768,1492x730,,"Multidimensional Inventory of Black Identity (Centrality Scale) - Sellers et al., 1997",1,BlackIdentityBranch,No,END QUESTIONNAIRE,13456
1,1675283703140,01/02/2023 20:35:03,1675283701080,-6,01/02/2023 14:35:01,110083,9,questionnaire-d2kp,,26862439,BLIND,7979607,,complete,qjscpi,3V0Z7YWSI4B8FT5KENWYUZXGXNTV2R,computer,Desktop or Laptop,Chromium OS 14816.131.0,Chrome 103.0.0.0,1366x768,1366x641,,"Multidimensional Inventory of Black Identity (Centrality Scale) - Sellers et al., 1997",1,BlackIdentityBranch,No,BEGIN QUESTIONNAIRE,
2,1675283734463,01/02/2023 20:35:34,1675283732455,-6,01/02/2023 14:35:32,110083,9,questionnaire-d2kp,,26862439,BLIND,7979607,,complete,qjscpi,3V0Z7YWSI4B8FT5KENWYUZXGXNTV2R,computer,Desktop or Laptop,Chromium OS 14816.131.0,Chrome 103.0.0.0,1366x768,1366x641,,"Multidimensional Inventory of Black Identity (Centrality Scale) - Sellers et al., 1997",1,BlackIdentityBranch,No,MIBI_CS1-RS,1
3,1675283734858,01/02/2023 20:35:34,1675283732461,-6,01/02/2023 14:35:32,110083,9,questionnaire-d2kp,,26862439,BLIND,7979607,,complete,qjscpi,3V0Z7YWSI4B8FT5KENWYUZXGXNTV2R,computer,Desktop or Laptop,Chromium OS 14816.131.0,Chrome 103.0.0.0,1366x768,1366x641,,"Multidimensional Inventory of Black Identity (Centrality Scale) - Sellers et al., 1997",1,BlackIdentityBranch,No,MIBI_CS2,7
4,1675283734858,01/02/2023 20:35:34,1675283732461,-6,01/02/2023 14:35:32,110083,9,questionnaire-d2kp,,26862439,BLIND,7979607,,complete,qjscpi,3V0Z7YWSI4B8FT5KENWYUZXGXNTV2R,computer,Desktop or Laptop,Chromium OS 14816.131.0,Chrome 103.0.0.0,1366x768,1366x641,,"Multidimensional Inventory of Black Identity (Centrality Scale) - Sellers et al., 1997",1,BlackIdentityBranch,No,MIBI_CS3,7
