Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,branch-9ku2,Randomise questionnaire elements?,Question Key,Response
1,1674074045050,18/01/2023 20:34:05,1674074044906,-6,18/01/2023 14:34:04,110083,9,questionnaire-olq6,,26470274,BLIND,7814309,,complete,hlwcwz,3IXQG4FA2Z946ZSDUFKD3ABNXOPB92,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1440x796,,Purpose/Comfort Exit Questions,3,NonBlackIdentity,No,BEGIN QUESTIONNAIRE,
2,1674074095330,18/01/2023 20:34:55,1674074095205,-6,18/01/2023 14:34:55,110083,9,questionnaire-olq6,,26470274,BLIND,7814309,,complete,hlwcwz,3IXQG4FA2Z946ZSDUFKD3ABNXOPB92,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1440x796,,Purpose/Comfort Exit Questions,3,NonBlackIdentity,No,comf_religion,5
3,1674074095480,18/01/2023 20:34:55,1674074095206,-6,18/01/2023 14:34:55,110083,9,questionnaire-olq6,,26470274,BLIND,7814309,,complete,hlwcwz,3IXQG4FA2Z946ZSDUFKD3ABNXOPB92,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1440x796,,Purpose/Comfort Exit Questions,3,NonBlackIdentity,No,comf_science,7
4,1674074095480,18/01/2023 20:34:55,1674074095206,-6,18/01/2023 14:34:55,110083,9,questionnaire-olq6,,26470274,BLIND,7814309,,complete,hlwcwz,3IXQG4FA2Z946ZSDUFKD3ABNXOPB92,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1440x796,,Purpose/Comfort Exit Questions,3,NonBlackIdentity,No,comf_puppy,7
5,1674074095480,18/01/2023 20:34:55,1674074095206,-6,18/01/2023 14:34:55,110083,9,questionnaire-olq6,,26470274,BLIND,7814309,,complete,hlwcwz,3IXQG4FA2Z946ZSDUFKD3ABNXOPB92,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1440x796,,Purpose/Comfort Exit Questions,3,NonBlackIdentity,No,comf_healthcare,6
6,1674074095480,18/01/2023 20:34:55,1674074095206,-6,18/01/2023 14:34:55,110083,9,questionnaire-olq6,,26470274,BLIND,7814309,,complete,hlwcwz,3IXQG4FA2Z946ZSDUFKD3ABNXOPB92,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1440x796,,Purpose/Comfort Exit Questions,3,NonBlackIdentity,No,comf_community,2
7,1674074095480,18/01/2023 20:34:55,1674074095207,-6,18/01/2023 14:34:55,110083,9,questionnaire-olq6,,26470274,BLIND,7814309,,complete,hlwcwz,3IXQG4FA2Z946ZSDUFKD3ABNXOPB92,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1440x796,,Purpose/Comfort Exit Questions,3,NonBlackIdentity,No,comf_spider,7
8,1674074095480,18/01/2023 20:34:55,1674074095207,-6,18/01/2023 14:34:55,110083,9,questionnaire-olq6,,26470274,BLIND,7814309,,complete,hlwcwz,3IXQG4FA2Z946ZSDUFKD3ABNXOPB92,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1440x796,,Purpose/Comfort Exit Questions,3,NonBlackIdentity,No,comf_firefighter,5
9,1674074095480,18/01/2023 20:34:55,1674074095207,-6,18/01/2023 14:34:55,110083,9,questionnaire-olq6,,26470274,BLIND,7814309,,complete,hlwcwz,3IXQG4FA2Z946ZSDUFKD3ABNXOPB92,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1440x796,,Purpose/Comfort Exit Questions,3,NonBlackIdentity,No,comf_police,5
10,1674074095480,18/01/2023 20:34:55,1674074095207,-6,18/01/2023 14:34:55,110083,9,questionnaire-olq6,,26470274,BLIND,7814309,,complete,hlwcwz,3IXQG4FA2Z946ZSDUFKD3ABNXOPB92,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1440x796,,Purpose/Comfort Exit Questions,3,NonBlackIdentity,No,comf_kitten,7
